Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_02_02_02,21802.391034754823,14.0,CO2,0.9197,9.063445907868461e-05
exp_02_02_02,0.994059879652342,14.0,CH4,0.9197,4.132394439696624e-09
exp_02_02_02,,14.0,N2O,0.9197,
exp_02_02_03,56843.16896833054,14.0,CO2,0.9197,0.0002363020580426373
exp_02_02_03,2.7367481467147474,14.0,CH4,0.9197,1.1376902997321785e-08
exp_02_02_03,,14.0,N2O,0.9197,
exp_02_02_04,57745.50659752133,14.0,CO2,0.9197,0.00024005315501166613
exp_02_02_04,1.7597057951507078,14.0,CH4,0.9197,7.3152519201619084e-09
exp_02_02_04,,14.0,N2O,0.9197,
exp_02_02_05,58798.23383157725,14.0,CO2,0.9197,0.00024442943480886643
exp_02_02_05,4.069078626120256,14.0,CH4,0.9197,1.6915518102539796e-08
exp_02_02_05,,14.0,N2O,0.9197,
exp_02_03_01,40450.702038031166,14.0,CO2,0.8789,0.00016815712977194698
exp_02_03_01,1.493239699269606,14.0,CH4,0.8789,6.207528899118306e-09
exp_02_03_01,,14.0,N2O,0.8789,
exp_02_03_02,73837.19431809043,14.0,CO2,0.8789,0.0003069477176260135
exp_02_03_02,1.6389078316846082,14.0,CH4,0.8789,6.8130841506221414e-09
exp_02_03_02,,14.0,N2O,0.8789,
exp_02_03_03,40901.87085262656,14.0,CO2,0.8789,0.00017003267825646139
exp_02_03_03,3.1275650873403635,14.0,CH4,0.8789,1.3001563428185735e-08
exp_02_03_03,,14.0,N2O,0.8789,
exp_02_03_04,30675.3777217976,14.0,CO2,0.8789,0.0001275202459408014
exp_02_03_04,1.1308458088713076,14.0,CH4,0.8789,4.701025590499006e-09
exp_02_03_04,,14.0,N2O,0.8789,
exp_02_03_05,43007.32532073841,14.0,CO2,0.8789,0.000178785237850862
exp_02_03_05,1.3617830919682623,14.0,CH4,0.8789,5.6610522087367944e-09
exp_02_03_05,,14.0,N2O,0.8789,
exp_02_04_01,17290.702888800868,14.0,CO2,0.7194,7.18789742335405e-05
exp_02_04_01,0.8270744595668515,14.0,CH4,0.7194,3.4382213465092992e-09
exp_02_04_01,,14.0,N2O,0.7194,
exp_02_04_02,20599.27419583377,14.0,CO2,0.7194,8.563299645331284e-05
exp_02_04_02,1.498569021187228,14.0,CH4,0.7194,6.229683359539178e-09
exp_02_04_02,,14.0,N2O,0.7194,
exp_02_04_03,19847.32617150811,14.0,CO2,0.7194,8.25070823124555e-05
exp_02_04_03,0.6867356490694713,14.0,CH4,0.7194,2.854820555426335e-09
exp_02_04_03,,14.0,N2O,0.7194,
exp_02_04_04,21351.222220159427,14.0,CO2,0.7194,8.87589105941702e-05
exp_02_04_04,1.848527827111075,14.0,CH4,0.7194,7.684492927176443e-09
exp_02_04_04,,14.0,N2O,0.7194,
exp_02_04_05,20900.05340556403,14.0,CO2,0.7194,8.688336210965579e-05
exp_02_04_05,2.1149939229921766,14.0,CH4,0.7194,8.792215948220045e-09
exp_02_04_05,,14.0,N2O,0.7194,
exp_02_05_01,17892.261308261397,14.0,CO2,0.7155,7.437970554622638e-05
exp_02_05_01,1.0189300486012447,14.0,CH4,0.7155,4.235781921660693e-09
exp_02_05_01,,14.0,N2O,0.7155,
exp_02_05_02,18193.04051799166,14.0,CO2,0.7155,7.563007120256932e-05
exp_02_05_02,1.2836197038431392,14.0,CH4,0.7155,5.336120122564005e-09
exp_02_05_02,,14.0,N2O,0.7155,
exp_02_05_03,13681.352372037705,14.0,CO2,0.7155,5.68745863574252e-05
exp_02_05_03,0.6512068362853244,14.0,CH4,0.7155,2.7071241526205216e-09
exp_02_05_03,,14.0,N2O,0.7155,
exp_02_05_04,12553.430335549216,14.0,CO2,0.7155,5.218571514613916e-05
exp_02_05_04,1.2853961444823465,14.0,CH4,0.7155,5.343504942704295e-09
exp_02_05_04,,14.0,N2O,0.7155,
exp_02_05_05,15486.027630419287,14.0,CO2,0.7155,6.437678029548284e-05
exp_02_05_05,1.0331415737149034,14.0,CH4,0.7155,4.294860482783018e-09
exp_02_05_05,,14.0,N2O,0.7155,
exp_02_06_01,11545.819982952833,14.0,CO2,0.6918,4.799699019739031e-05
exp_02_06_01,1.07577614905588,14.0,CH4,0.6918,4.472096166149995e-09
exp_02_06_01,,14.0,N2O,0.6918,
exp_02_06_02,11921.793995115662,14.0,CO2,0.6918,4.9559947267818985e-05
exp_02_06_02,1.1699275029338692,14.0,CH4,0.6918,4.863491633585401e-09
exp_02_06_02,,14.0,N2O,0.6918,
