variant,variant_label,batch_name,experiment,batch_id,brine,water_activity,ionic_strength,chloride,sulfate,ch4_moles,ch4_per_starting_c
no_salt_terms,Both Cl- terms off,Exp003_B04_SWSu_H,Exp003,4,SWSu_H,0.86638,4.5122971164377885,3.4932495839583284,0.2009058995156624,0.00010786254852339162,0.0019090902024592245
no_salt_terms,Both Cl- terms off,Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,2.328450879328879,0.119922989141721,0.00011412415153852409,0.002019916111280451
no_salt_terms,Both Cl- terms off,Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,2.327286576381881,0.1240586138387427,0.00011408605821083263,0.002019241886540999
no_salt_terms,Both Cl- terms off,Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,1.163966936054636,0.0599481807724605,0.00012025327682938434,0.0021283972588391777
no_salt_terms,Both Cl- terms off,Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,1.1642048853421323,0.0641580510125522,0.00012021158974104467,0.0021276594270986174
no_salt_terms,Both Cl- terms off,Exp004_B01_C,Exp004,1,C,1.0,0.0,0.0,0.0,0.00013591377646392252,0.002405576936375069
no_salt_terms,Both Cl- terms off,Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,3.593429158110883,0.0,0.00011062366911334978,0.0019579600682120665
no_salt_terms,Both Cl- terms off,Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,2.395619438526694,0.0,0.00011578746483111833,0.0020493555706107046
no_salt_terms,Both Cl- terms off,Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,1.197809719584189,0.0,0.00012089345960008252,0.0021397280374278
no_salt_terms,Both Cl- terms off,Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,3.873585833743236,0.0,0.00011035476865929293,0.0019532007219023005
no_salt_terms,Both Cl- terms off,Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,2.582390555828824,0.0,0.00011480149756100841,0.0020319046529281497
no_salt_terms,Both Cl- terms off,Exp004_B07_Mg_L,Exp004,7,Mg_L,0.967,1.936792916871618,1.291195277914412,0.0,0.00011990603830275158,0.00212225138450016
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B01_C,Exp003,1,C,1.0,0.0,0.0,0.0,0.0001364309353212885,0.002414730279414227
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B02_Su_C,Exp003,2,Su_C,0.9984688668,0.0629937741561728,0.0,0.0209979247187242,0.00012918433334129867,0.00228647059122301
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B03_SW_H,Exp003,3,SW_H,0.86638,4.461446957060581,3.502769562065931,0.1804043194068395,0.00010629439806986175,0.0018813350575289467
